"participant","session","gender","age","SOA","Orientierung","stimulus","response","correct","Rating","rt","rating","rating3"
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-0.968780041199,2.88684288532,1,1
1,1,"w",23,133.3,90,"waagrecht","senkrecht",0,0.817441062028,3.05743156974,5,3
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,-1,2.83275278873,1,1
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,-1,2.64919825176,1,1
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.269825284199,2.91605896083,4,2
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,-0.992217898833,3.17416851342,1,1
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.738094148165,3.04084546713,5,3
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-1,2.55757464741,1,1
1,1,"w",23,66.7,90,"waagrecht","senkrecht",0,-0.632837415122,2.29111205356,1,1
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,-1,3.12440250636,1,1
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-1,3.53272115766,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-1,2.46599403052,1,1
1,1,"w",23,66.7,90,"waagrecht","senkrecht",0,0.603173876555,2.54117845956,5,3
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.420614938582,3.06608167361,4,2
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.6349126421,2.69920518108,5,3
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-1,2.45755341032,1,1
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,1,3.39105276935,5,3
1,1,"w",23,8.3,0,"senkrecht","senkrecht",1,-0.851590753033,3.13240426949,1,1
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-0.773464560922,3.00746634467,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-0.960967421988,2.16614621896,1,1
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.801571679255,4.59927248533,5,3
1,1,"w",23,66.7,0,"senkrecht","waagrecht",0,0.722224765393,3.17416947582,5,3
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,-1,3.84101568465,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-0.960967421988,2.65754231057,1,1
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,0.47618829633,2.87442143368,4,2
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,-0.804715037766,2.8491688663,1,1
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,-0.796902418555,2.14090199244,1,1
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.952361333639,3.68246573514,5,3
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.563469901579,2.76563909524,4,2
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-0.828152895399,3.03251616521,1,1
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,-0.914091706722,4.8907322882,1,1
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.984100099184,3.50771239977,5,3
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.984100099184,3.01583927565,5,3
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-1,7.41553092082,1,1
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,-1,2.09091399043,1,1
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-1,2.09922885626,1,1
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.952361333639,3.24082955536,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,0.960296025025,2.8909116165,5,3
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,-0.968780041199,4.34073819096,1,1
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,-0.960967421988,2.26590279444,1,1
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,0.92855725948,3.13269972809,5,3
1,1,"w",23,16.7,0,"senkrecht","senkrecht",1,0.777767605097,5.39065722055,5,3
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,0.69839017319,3.26583382202,5,3
1,1,"w",23,66.7,0,"senkrecht","waagrecht",0,0.777767605097,2.58251892411,5,3
1,1,"w",23,33.3,0,"senkrecht","senkrecht",1,0.214282444495,3.14103769166,4,2
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-0.429709315633,2.54093015885,2,2
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,-0.820340276188,3.14990209124,1,1
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,2.30777354462,5,3
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,-0.960967421988,2.91584562753,1,1
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,1,3.21604888765,5,3
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-1,3.40747205494,1,1
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,-0.992217898833,3.49913800515,1,1
1,1,"w",23,16.7,90,"waagrecht","waagrecht",1,-0.914091706722,5.38257269051,1,1
1,1,"w",23,16.7,90,"waagrecht","waagrecht",1,-0.851590753033,2.99918965427,1,1
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-1,2.29922545576,1,1
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.896818493935,3.41607179291,5,3
1,1,"w",23,8.3,0,"senkrecht","waagrecht",0,-0.593774319066,4.29908719012,2,2
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.952361333639,2.93274387044,5,3
1,1,"w",23,133.3,90,"waagrecht","waagrecht",1,0.777767605097,3.99910528335,5,3
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,-1,3.64913312896,1,1
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,4.95373490466,5,3
1,1,"w",23,16.7,90,"waagrecht","senkrecht",0,-1,2.55752331909,1,1
1,1,"w",23,33.3,90,"waagrecht","waagrecht",1,-0.742214084077,2.82440905072,1,1
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,2.96584229119,5,3
1,1,"w",23,8.3,90,"waagrecht","waagrecht",1,-0.960967421988,2.82416909086,1,1
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,-1,2.24089756537,1,1
1,1,"w",23,16.7,0,"senkrecht","waagrecht",0,-1,2.91607596334,1,1
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,3.26603977688,5,3
1,1,"w",23,133.3,0,"senkrecht","waagrecht",0,0.325398641947,3.79905767634,4,2
1,1,"w",23,66.7,90,"waagrecht","senkrecht",0,0.904753185321,2.45780427744,5,3
1,1,"w",23,33.3,90,"waagrecht","senkrecht",0,-0.960967421988,2.82440199308,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-1,2.28279013008,1,1
1,1,"w",23,8.3,90,"waagrecht","senkrecht",0,-1,2.72444010435,1,1
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-0.617212176699,2.79109729667,1,1
1,1,"w",23,66.7,0,"senkrecht","senkrecht",1,1,2.38272025941,5,3
1,1,"w",23,66.7,90,"waagrecht","waagrecht",1,1,2.99083821701,5,3
1,1,"w",23,33.3,0,"senkrecht","waagrecht",0,-1,3.24914923322,1,1
1,1,"w",23,133.3,0,"senkrecht","senkrecht",1,1,2.4078101802,5,3
