"gender","age","coherence","direction","stimulus","response","correct","Rating","rt","rating","rating3","participant"
"w",23,0.064,270,"nach unten","nach unten",1,-0.90627908751,6.34461904275,1,1,7
"w",23,0.016,270,"nach unten","nach oben",0,-0.929716945144,4.64911344748,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.8077497436,5,3,7
"w",23,0.032,270,"nach unten","nach oben",0,-1,5.02407234471,1,1,7
"w",23,0.016,270,"nach unten","nach oben",0,-1,5.86591115644,1,1,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.648462653544,3.03275100275,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,-0.328145265888,3.00753179068,2,2,7
"w",23,0.016,270,"nach unten","nach oben",0,-0.90627908751,9.79041424207,1,1,7
"w",23,0.016,270,"nach unten","nach oben",0,-1,3.50772539472,1,1,7
"w",23,0.064,90,"nach oben","nach unten",0,-1,5.96589521257,1,1,7
"w",23,0.128,90,"nach oben","nach oben",1,0.357137407492,2.98275624786,4,2,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.95754184783,5,3,7
"w",23,0.128,270,"nach unten","nach unten",1,1,2.98253842326,5,3,7
"w",23,0.032,270,"nach unten","nach unten",1,-1,5.26572579701,1,1,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.851590753033,5.17407072466,1,1,7
"w",23,0.016,90,"nach oben","nach oben",1,-1,3.11585092585,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.84921212619,5,3,7
"w",23,0.064,90,"nach oben","nach oben",1,-0.710963607233,6.63226748989,1,1,7
"w",23,0.128,270,"nach unten","nach unten",1,1,3.47419227656,5,3,7
"w",23,0.064,270,"nach unten","nach unten",1,-0.468772411688,4.83242680019,2,2,7
"w",23,0.128,270,"nach unten","nach unten",1,1,2.74088849979,5,3,7
"w",23,0.128,90,"nach oben","nach oben",1,1,4.27412182843,5,3,7
"w",23,0.032,90,"nach oben","nach unten",0,-0.671900511177,3.49919206002,1,1,7
"w",23,0.032,90,"nach oben","nach oben",1,-1,3.0908216286,1,1,7
"w",23,0.016,90,"nach oben","nach oben",1,-0.828152895399,3.74083845467,1,1,7
"w",23,0.032,270,"nach unten","nach unten",1,-0.992217898833,3.55742918214,1,1,7
"w",23,0.032,270,"nach unten","nach oben",0,-1,4.42350426843,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,2.88275422681,5,3,7
"w",23,0.032,90,"nach oben","nach unten",0,-0.992217898833,6.99889964895,1,1,7
"w",23,0.016,90,"nach oben","nach oben",1,-1,4.92432022846,1,1,7
"w",23,0.256,270,"nach unten","nach unten",1,1,3.01586334089,5,3,7
