"participant","session","gender","age","coherence","direction","stimulus","response","correct","Rating","rt","rating","rating3"
1,2,"m",22,0.032,90,"nach oben","nach oben",1,0.960326543068589,2.99907326642472,5,3
1,2,"m",22,0.016,90,"nach oben","nach oben",1,0.666681925688563,3.08057032226191,5,3
1,2,"m",22,0.128,270,"nach unten","nach unten",1,1,3.00815819401146,5,3
1,2,"m",22,0.256,270,"nach unten","nach unten",1,1,1.79140525826983,5,3
1,2,"m",22,0.064,90,"nach oben","nach oben",1,0.722224765392538,2.48380561307704,5,3
1,2,"m",22,0.256,90,"nach oben","nach oben",1,0.722224765392538,1.69913771559914,5,3
1,2,"m",22,0.032,270,"nach unten","nach unten",1,-0.554680704966812,3.27451453795663,2,2
1,2,"m",22,0.064,270,"nach unten","nach unten",1,-0.554680704966812,2.00054266910684,2,2
1,2,"m",22,0.016,270,"nach unten","nach unten",1,-1,4.10763480512048,1,1
1,2,"m",22,0.256,270,"nach unten","nach unten",1,1,2.35820286572664,5,3
1,2,"m",22,0.016,270,"nach unten","nach unten",1,-0.796871900511177,3.95693633839505,1,1
1,2,"m",22,0.256,270,"nach unten","nach unten",1,1,2.41551547309518,5,3
1,2,"m",22,0.032,270,"nach unten","nach unten",1,0.49205767910277,3.55875721203574,4,2
1,2,"m",22,0.064,90,"nach oben","nach oben",1,1,2.74136972941938,5,3
1,2,"m",22,0.128,90,"nach oben","nach oben",1,1,2.17544310010487,5,3
1,2,"m",22,0.016,270,"nach unten","nach unten",1,-0.414084077210651,3.70693930581592,2,2
1,2,"m",22,0.256,90,"nach oben","nach oben",1,1,2.6744519815154,5,3
1,2,"m",22,0.256,270,"nach unten","nach unten",1,1,2.64834701822303,5,3
1,2,"m",22,0.032,90,"nach oben","nach oben",1,0.857145037003128,3.03255777247739,5,3
1,2,"m",22,0.016,270,"nach unten","nach unten",1,-0.929686427100023,4.45740454929671,1,1
1,2,"m",22,0.016,270,"nach unten","nach unten",1,0.333333333333333,4.18153000222958,4,2
1,2,"m",22,0.032,90,"nach oben","nach oben",1,0.666681925688563,2.53403362328527,5,3
1,2,"m",22,0.016,90,"nach oben","nach oben",1,0.253986419470512,3.15013019759806,4,2
1,2,"m",22,0.256,90,"nach oben","nach oben",1,1,2.30838772803008,5,3
1,2,"m",22,0.064,270,"nach unten","nach unten",1,0.833340962844282,3.165786310405,5,3
1,2,"m",22,0.016,90,"nach oben","nach oben",1,-0.375020981155108,3.29124694235338,2,2
1,2,"m",22,0.128,270,"nach unten","nach unten",1,1,2.57543123042092,5,3
1,2,"m",22,0.256,270,"nach unten","nach unten",1,1,1.72388985575128,5,3
1,2,"m",22,0.128,270,"nach unten","nach unten",1,1,1.63339282076606,5,3
1,2,"m",22,0.032,90,"nach oben","nach oben",1,0.801602197299153,2.6900638236101,5,3
1,2,"m",22,0.016,90,"nach oben","nach oben",1,-0.656244754711223,4.06660547898173,1,1
1,2,"m",22,0.032,270,"nach unten","nach unten",1,-0.601556420233463,2.76511615447919,1,1
1,2,"m",22,0.256,90,"nach oben","nach oben",1,1,3.06525073102819,5,3
1,2,"m",22,0.064,270,"nach unten","nach unten",1,1,2.27439455791057,5,3
1,2,"m",22,0.128,90,"nach oben","nach oben",1,0.960326543068589,2.39082460617522,5,3
1,2,"m",22,0.064,90,"nach oben","nach oben",1,0.976195925841154,2.35828948233745,5,3
1,2,"m",22,0.128,270,"nach unten","nach unten",1,1,2.33216719572306,5,3
1,2,"m",22,0.032,90,"nach oben","nach oben",1,0.38097199969482,2.98192138098955,4,2
1,2,"m",22,0.128,90,"nach oben","nach oben",1,1,2.60059175185313,5,3
1,2,"m",22,0.016,270,"nach unten","nach unten",1,-0.960936903944457,5.14991750569834,1,1
1,2,"m",22,0.128,270,"nach unten","nach unten",1,1,2.49179038138573,5,3
1,2,"m",22,0.256,90,"nach oben","nach oben",1,1,2.18254502058744,5,3
1,2,"m",22,0.256,90,"nach oben","nach oben",1,1,1.81675601544339,5,3
1,2,"m",22,0.032,90,"nach oben","nach oben",1,0.650812542915999,2.59075018005012,5,3
1,2,"m",22,0.064,90,"nach oben","nach oben",1,1,1.9173615297135,5,3
1,2,"m",22,0.016,90,"nach oben","nach oben",1,-0.765621423666743,5.41500668070717,1,1
1,2,"m",22,0.016,90,"nach oben","nach oben",1,-0.343770504310674,3.36535162333962,2,2
1,2,"m",22,0.032,270,"nach unten","nach unten",1,0.269855802243076,2.58228003791874,4,2
1,2,"m",22,0.128,90,"nach oben","nach oben",1,1,2.29035030003024,5,3
1,2,"m",22,0.128,270,"nach unten","nach unten",1,1,2.12360915377167,5,3
1,2,"m",22,0.016,90,"nach oben","nach oben",1,-0.703120469977874,3.74205335904014,1,1
1,2,"m",22,0.032,270,"nach unten","nach unten",1,-0.476585030899519,3.24162428601448,2,2
1,2,"m",22,0.064,270,"nach unten","nach unten",1,1,2.66543936275832,5,3
1,2,"m",22,0.032,90,"nach oben","nach oben",1,0.269855802243076,3.19920139484816,4,2
1,2,"m",22,0.064,90,"nach oben","nach oben",1,0.904753185320821,2.31724572009659,5,3
1,2,"m",22,0.128,90,"nach oben","nach oben",1,0.920622568093385,1.94210404579781,5,3
1,2,"m",22,0.256,270,"nach unten","nach unten",1,1,2.24855393568248,5,3
1,2,"m",22,0.128,270,"nach unten","nach unten",1,1,1.60677393224978,5,3
1,2,"m",22,0.128,270,"nach unten","nach unten",1,1,1.60819027423793,5,3
1,2,"m",22,0.256,270,"nach unten","nach unten",1,1,1.54196064718644,5,3
1,2,"m",22,0.256,90,"nach oben","nach oben",1,1,2.13366534228783,5,3
1,2,"m",22,0.064,270,"nach unten","nach unten",1,1,3.11687519348379,5,3
1,2,"m",22,0.032,270,"nach unten","nach unten",1,0.49205767910277,2.77366681797844,4,2
1,2,"m",22,0.064,270,"nach unten","nach unten",1,0.920622568093385,2.10852888102568,5,3
1,2,"m",22,0.064,270,"nach unten","nach unten",1,0.928587777523461,1.78205900516014,5,3
1,2,"m",22,0.128,90,"nach oben","nach oben",1,1,2.18387057553525,5,3
1,2,"m",22,0.064,270,"nach unten","nach unten",1,-0.960936903944457,3.47528670900181,1,1
1,2,"m",22,0.016,270,"nach unten","nach unten",1,-0.328145265888457,3.29848873262256,2,2
1,2,"m",22,0.256,270,"nach unten","nach unten",1,1,2.61693341909438,5,3
1,2,"m",22,0.016,90,"nach oben","nach oben",1,0.523826962691691,2.92484328007481,4,2
1,2,"m",22,0.032,270,"nach unten","nach unten",1,-0.414084077210651,2.5753991501947,2,2
1,2,"m",22,0.032,90,"nach oben","nach oben",1,1,2.38379935743296,5,3
1,2,"m",22,0.064,90,"nach oben","nach oben",1,1,1.94199144420361,5,3
1,2,"m",22,0.128,90,"nach oben","nach oben",1,1,1.75791093566784,5,3
1,2,"m",22,0.256,90,"nach oben","nach oben",1,1,1.55739251921216,5,3
1,2,"m",22,0.064,90,"nach oben","nach oben",1,0.714290074006256,2.25766119110676,5,3
1,2,"m",22,0.032,270,"nach unten","nach unten",1,-0.749996185244526,3.64163134366447,1,1
1,2,"m",22,0.064,90,"nach oben","nach oben",1,0.650812542915999,2.84875860752572,5,3
1,2,"m",22,0.016,270,"nach unten","nach unten",1,-1,4.46680630119818,1,1
1,2,"m",22,0.128,90,"nach oben","nach oben",1,1,2.37538407248837,5,3
1,2,"m",22,0.256,90,"nach oben","nach oben",1,0.984130617227436,2.19900204832243,5,3
1,2,"m",22,0.064,90,"nach oben","nach oben",1,1,1.75553731972923,5,3
1,2,"m",22,0.128,270,"nach unten","nach unten",1,1,2.58385646023567,5,3
1,2,"m",22,0.032,90,"nach oben","nach oben",1,1,2.2412252080004,5,3
1,2,"m",22,0.128,90,"nach oben","nach oben",1,1,1.69077279660996,5,3
1,2,"m",22,0.256,270,"nach unten","nach unten",1,1,2.00069697499509,5,3
1,2,"m",22,0.016,270,"nach unten","nach unten",1,-0.523430228122377,3.18339642979163,2,2
1,2,"m",22,0.256,270,"nach unten","nach unten",1,0.984130617227436,2.17550565654585,5,3
1,2,"m",22,0.064,270,"nach unten","nach unten",1,1,2.18232430863088,5,3
1,2,"m",22,0.128,90,"nach oben","nach oben",1,1,2.18209236859548,5,3
1,2,"m",22,0.256,90,"nach oben","nach oben",1,1,1.9168023713703,5,3
1,2,"m",22,0.256,90,"nach oben","nach oben",1,1,1.58181904506796,5,3
